Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","221","Almonds, with shell","2018","2018","ha","20053","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","711","Anise, badian, fennel, coriander","2018","2018","ha","25333","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2018","2018","ha","28381","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","526","Apricots","2018","2018","ha","18510","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","44","Barley","2018","2018","ha","84147","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","558","Berries nes","2018","2018","ha","5553","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","569","Figs","2018","2018","ha","1644","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","512","Fruit, citrus nes","2018","2018","ha","1700","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","619","Fruit, fresh nes","2018","2018","ha","8371","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","541","Fruit, stone nes","2018","2018","ha","6888","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","560","Grapes","2018","2018","ha","87517","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","333","Linseed","2018","2018","ha","34458","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","56","Maize","2018","2018","ha","72433","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2018","2018","ha","35798","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","79","Millet","2018","2018","ha","2539","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","234","Nuts nes","2018","2018","ha","1611","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","260","Olives","2018","2018","ha","2263","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","403","Onions, dry","2018","2018","ha","10551","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","490","Oranges","2018","2018","ha","970","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","534","Peaches and nectarines","2018","2018","ha","7799","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","521","Pears","2018","2018","ha","1806","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","223","Pistachios","2018","2018","ha","2195","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","536","Plums and sloes","2018","2018","ha","3952","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","116","Potatoes","2018","2018","ha","32400","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","211","Pulses nes","2018","2018","ha","61166","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","27","Rice, paddy","2018","2018","ha","117539","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","328","Seed cotton","2018","2018","ha","39496","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","289","Sesame seed","2018","2018","ha","15000","*","Unofficial figure"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","723","Spices nes","2018","2018","ha","2072","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","157","Sugar beet","2018","2018","ha","196","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","156","Sugar cane","2018","2018","ha","1766","","Official data"
